time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1182647_c,1182647_h,1182647_r,1182647_s,1182648_c,1182648_h,1182648_r,1182648_s,3833813_c,3833813_h,3833813_r,3833813_s,3833814_c,3833814_h,3833814_r,3833814_s
2023-05-30 09:05:00,,310.0,,,,24.93,24.93,[24.93],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 09:10:00,,311.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 09:15:00,,312.0,,,,24.95,24.95,[24.95],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.6,25.0,1.0,,23.7,22.0
2023-05-30 09:20:00,,314.0,,,,24.93,24.93,[24.93],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 09:25:00,,316.0,,,,24.92,24.92,[24.92],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 09:30:00,,315.0,,,,24.93,24.93,[24.93],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 09:35:00,,314.0,,,,24.93,24.93,[24.93],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 09:40:00,,313.0,,,,24.95,24.95,[24.95],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 09:45:00,,309.0,,,,24.96,24.96,[24.96],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 09:50:00,,310.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.6,25.0,1.0,,23.7,22.0
2023-05-30 09:55:00,,309.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 10:00:00,,311.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 10:05:00,,311.0,,,,24.99,24.99,[24.99],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 10:10:00,,312.0,,,,25.0,25.0,[25.0],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 10:15:00,,313.0,,,,24.98,24.98,[24.98],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 10:20:00,,313.0,,,,24.97,24.97,[24.97],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.6,25.0,1.0,,23.7,22.0
2023-05-30 10:25:00,,312.0,,,,24.95,24.95,[24.95],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 10:30:00,,312.0,,,,24.98,24.98,[24.98],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,315.0,,,,24.92,24.92,[24.92],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 10:45:00,,317.0,,,,24.94,24.94,[24.94],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 10:50:00,,318.0,,,,24.96,24.96,[24.96],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.6,25.0,1.0,,23.7,22.0
2023-05-30 10:55:00,,323.0,,,,24.97,24.97,[24.97],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 11:00:00,,324.0,,,,24.95,24.95,[24.95],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.0,25.0,1.0,,23.7,22.0
2023-05-30 11:05:00,,323.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 11:10:00,,325.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 11:15:00,,324.0,,,,24.95,24.95,[24.95],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 11:20:00,,325.0,,,,24.94,24.94,[24.94],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 11:25:00,,323.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 11:30:00,,325.0,,,,24.99,24.99,[24.99],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 11:35:00,,322.0,,,,25.0,25.0,[25.0],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 11:40:00,,324.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.0,25.0,1.0,,23.7,22.0
2023-05-30 11:45:00,,321.0,,,,25.0,25.0,[25.0],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 11:50:00,,324.0,,,,25.02,25.02,[25.02],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 11:55:00,,303.0,,,,25.0,25.0,[25.0],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.6,25.0,1.0,,23.7,22.0
2023-05-30 12:00:00,,302.0,,,,25.0,25.0,[25.0],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 12:05:00,,303.0,,,,24.98,24.98,[24.98],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 12:10:00,,303.0,,,,24.96,24.96,[24.96],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 12:15:00,,302.0,,,,24.94,24.94,[24.94],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 12:20:00,,300.0,,,,24.94,24.94,[24.94],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 12:25:00,,301.0,,,,24.94,24.94,[24.94],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 12:30:00,,300.0,,,,24.96,24.96,[24.96],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 12:35:00,,293.0,,,,24.96,24.96,[24.96],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.0,25.0,1.0,,23.7,22.0
2023-05-30 12:40:00,,292.0,,,,24.96,24.96,[24.96],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 12:45:00,,292.0,,,,24.94,24.94,[24.94],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 12:50:00,,292.0,,,,24.92,24.92,[24.92],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 12:55:00,,294.0,,,,24.93,24.93,[24.93],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.6,25.0,1.0,,23.7,22.0
2023-05-30 13:00:00,,297.0,,,,24.94,24.94,[24.94],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 13:05:00,,298.0,,,,24.94,24.94,[24.94],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 13:10:00,,298.0,,,,24.94,24.94,[24.94],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 13:15:00,,301.0,,,,24.93,24.93,[24.93],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 13:20:00,,299.0,,,,24.94,24.94,[24.94],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 13:25:00,,301.0,,,,24.96,24.96,[24.96],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.6,25.0,1.0,,23.7,22.0
2023-05-30 13:30:00,,301.0,,,,24.94,24.94,[24.94],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 13:35:00,,301.0,,,,24.92,24.92,[24.92],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 13:40:00,,301.0,,,,24.92,24.92,[24.92],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 13:45:00,,300.0,,,,24.89,24.89,[24.89],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.6,25.0,1.0,,23.7,22.0
2023-05-30 13:50:00,,301.0,,,,24.87,24.87,[24.87],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 13:55:00,,295.0,,,,24.9,24.9,[24.9],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 14:00:00,,290.0,,,,24.89,24.89,[24.89],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 14:05:00,,288.0,,,,24.87,24.87,[24.87],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 14:10:00,,293.0,,,,24.92,24.92,[24.92],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 14:15:00,,316.0,,,,24.92,24.92,[24.92],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 14:20:00,,318.0,,,,24.96,24.96,[24.96],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.8,25.0,1.0,,23.7,22.0
2023-05-30 14:25:00,,323.0,,,,24.94,24.94,[24.94],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 14:30:00,,326.0,,,,24.94,24.94,[24.94],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 14:35:00,,329.0,,,,24.94,24.94,[24.94],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 14:40:00,,332.0,,,,24.96,24.96,[24.96],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 14:45:00,,323.0,,,,24.94,24.94,[24.94],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 14:50:00,,318.0,,,,24.87,24.87,[24.87],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 14:55:00,,320.0,,,,24.8,24.8,[24.8],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 15:00:00,,326.0,,,,24.8,24.8,[24.8],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 15:05:00,,331.0,,,,24.78,24.78,[24.78],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 15:10:00,,331.0,,,,24.82,24.82,[24.82],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 15:15:00,,329.0,,,,24.87,24.87,[24.87],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 15:20:00,,332.0,,,,24.87,24.87,[24.87],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 15:25:00,,330.0,,,,24.86,24.86,[24.86],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 15:30:00,,335.0,,,,24.89,24.89,[24.89],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 15:35:00,,337.0,,,,24.88,24.88,[24.88],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 15:40:00,,334.0,,,,24.84,24.84,[24.84],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 15:45:00,,330.0,,,,24.82,24.82,[24.82],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 15:50:00,,330.0,,,,24.86,24.86,[24.86],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 15:55:00,,330.0,,,,24.84,24.84,[24.84],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 16:00:00,,332.0,,,,24.82,24.82,[24.82],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 16:05:00,,330.0,,,,24.83,24.83,[24.83],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 16:10:00,,329.0,,,,24.83,24.83,[24.83],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 16:15:00,,330.0,,,,24.82,24.82,[24.82],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 16:20:00,,328.0,,,,24.85,24.85,[24.85],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 16:25:00,,326.0,,,,24.88,24.88,[24.88],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 16:30:00,,330.0,,,,24.86,24.86,[24.86],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 16:35:00,,326.0,,,,24.84,24.84,[24.84],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 16:40:00,,330.0,,,,24.82,24.82,[24.82],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 16:45:00,,331.0,,,,24.84,24.84,[24.84],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 16:50:00,,329.0,,,,24.84,24.84,[24.84],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 16:55:00,,329.0,,,,24.82,24.82,[24.82],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 17:00:00,,328.0,,,,24.8,24.8,[24.8],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 17:05:00,,330.0,,,,24.8,24.8,[24.8],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 17:10:00,,332.0,,,,24.85,24.85,[24.85],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 17:15:00,,329.0,,,,24.88,24.88,[24.88],1.0,,25.1,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 17:20:00,,326.0,,,,24.83,24.83,[24.83],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 17:25:00,,334.0,,,,24.86,24.86,[24.86],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 17:30:00,,328.0,,,,24.88,24.88,[24.88],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 17:35:00,,327.0,,,,24.86,24.86,[24.86],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 17:40:00,,328.0,,,,24.86,24.86,[24.86],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.6,25.0,1.0,,23.7,22.0
2023-05-30 17:45:00,,331.0,,,,24.9,24.9,[24.9],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 17:50:00,,332.0,,,,24.89,24.89,[24.89],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 17:55:00,,327.0,,,,24.91,24.91,[24.91],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 18:00:00,,330.0,,,,24.91,24.91,[24.91],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 18:05:00,,342.0,,,,,,,1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.5,25.0,1.0,,23.7,22.0
2023-05-30 18:10:00,,345.0,,,,24.9,24.9,[24.9],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 18:15:00,,343.0,,,,24.95,24.95,[24.95],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 18:20:00,,345.0,,,,24.99,24.99,[24.99],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 18:25:00,,336.0,,,,24.99,24.99,[24.99],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 18:30:00,,337.0,,,,24.99,24.99,[24.99],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.6,25.0,1.0,,23.7,22.0
2023-05-30 18:35:00,,342.0,,,,25.0,25.0,[25.0],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 18:40:00,,337.0,,,,25.02,25.02,[25.02],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.7,25.0,1.0,,23.7,22.0
2023-05-30 18:45:00,,342.0,,,,25.0,25.0,[25.0],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 18:50:00,,353.0,,,,25.04,25.04,[25.04],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.5,25.0,1.0,,23.7,22.0
2023-05-30 18:55:00,,356.0,,,,25.04,25.04,[25.04],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 19:00:00,,357.0,,,,25.05,25.05,[25.05],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.7,25.0,1.0,,23.7,22.0
2023-05-30 19:05:00,,356.0,,,,24.98,24.98,[24.98],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 19:10:00,,362.0,,,,25.04,25.04,[25.04],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 19:15:00,,359.0,,,,25.08,25.08,[25.08],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 19:20:00,,358.0,,,,25.03,25.03,[25.03],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.4,25.0,1.0,,23.7,22.0
2023-05-30 19:25:00,,353.0,,,,25.08,25.08,[25.08],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 19:30:00,,348.0,,,,25.07,25.07,[25.07],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.2,25.0,1.0,,23.7,22.0
2023-05-30 19:35:00,,348.0,,,,25.06,25.06,[25.06],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 19:40:00,,349.0,,,,25.04,25.04,[25.04],1.0,,24.6,25.0,0.0,,-99999.0,-99999.0,1.0,,23.6,25.0,1.0,,23.7,22.0
2023-05-30 19:45:00,,352.0,,,,25.03,25.03,[25.03],1.0,,25.0,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 19:50:00,,353.0,,,,25.01,25.01,[25.01],1.0,,25.0,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 19:55:00,,359.0,,,,25.0,25.0,[25.0],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 20:00:00,,355.0,,,,25.01,25.01,[25.01],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.7,25.0,1.0,,23.7,22.0
2023-05-30 20:05:00,,356.0,,,,25.04,25.04,[25.04],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.7,25.0,1.0,,23.7,22.0
2023-05-30 20:10:00,,350.0,,,,25.02,25.02,[25.02],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.8,25.0,1.0,,23.7,22.0
2023-05-30 20:15:00,,357.0,,,,25.04,25.04,[25.04],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.5,25.0,1.0,,23.7,22.0
2023-05-30 20:20:00,,367.0,,,,25.03,25.03,[25.03],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.5,25.0,1.0,,23.7,22.0
2023-05-30 20:25:00,,368.0,,,,25.06,25.06,[25.06],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 20:30:00,,370.0,,,,25.1,25.1,[25.1],1.0,,25.2,25.0,0.0,,-99999.0,-99999.0,1.0,,24.3,25.0,1.0,,23.7,22.0
2023-05-30 20:35:00,,366.0,,,,25.04,25.04,[25.04],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 20:40:00,,366.0,,,,25.08,25.08,[25.08],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.4,25.0,1.0,,23.7,22.0
2023-05-30 20:45:00,,371.0,,,,25.06,25.06,[25.06],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.7,25.0,1.0,,23.7,22.0
2023-05-30 20:50:00,,369.0,,,,25.08,25.08,[25.08],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 20:55:00,,377.0,,,,25.06,25.06,[25.06],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.7,25.0,1.0,,23.7,22.0
2023-05-30 21:00:00,,376.0,,,,25.04,25.04,[25.04],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.6,25.0,1.0,,23.7,22.0
2023-05-30 21:05:00,,380.0,,,,25.04,25.04,[25.04],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 21:10:00,,383.0,,,,25.07,25.07,[25.07],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 21:15:00,,375.0,,,,25.1,25.1,[25.1],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.8,25.0,1.0,,23.7,22.0
2023-05-30 21:20:00,,378.0,,,,25.04,25.04,[25.04],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.0,25.0,1.0,,23.7,22.0
2023-05-30 21:25:00,,372.0,,,,25.04,25.04,[25.04],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.8,25.0,1.0,,23.7,22.0
2023-05-30 21:30:00,,372.0,,,,25.08,25.08,[25.08],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 21:35:00,,373.0,,,,25.08,25.08,[25.08],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.5,25.0,1.0,,23.7,22.0
2023-05-30 21:40:00,,376.0,,,,25.06,25.06,[25.06],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,23.9,25.0,1.0,,23.7,22.0
2023-05-30 21:45:00,,378.0,,,,25.1,25.1,[25.1],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.1,25.0,1.0,,23.7,22.0
2023-05-30 21:50:00,,385.0,,,,25.08,25.08,[25.08],1.0,,25.3,25.0,0.0,,-99999.0,-99999.0,1.0,,24.7,25.0,1.0,,23.7,22.0
