time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1379579_c,1379579_h,1379579_p,1379579_r,1379579_s,1379580_c,1379580_h,1379580_p,1379580_r,1379580_s
2023-05-30 09:00:00,,,,,,,,,,,13.5,,,,,11.0,,
2023-05-30 09:05:00,,71.0,23.4,23.4,23.4,25.7,25.7,[25.7],1.0,23.4,14.0,26.0,24.0,1.0,23.4,0.2,26.7,26.0
2023-05-30 09:10:00,,71.0,23.7,23.7,23.7,26.0,26.0,[26.0],1.0,23.7,14.3,26.0,25.0,1.0,23.7,11.6,26.3,26.0
2023-05-30 09:15:00,,71.0,23.7,23.7,23.7,26.2,26.2,[26.2],1.0,23.7,13.8,26.0,25.0,1.0,23.7,11.0,27.0,26.0
2023-05-30 09:20:00,,72.0,24.3,24.3,24.3,26.3,26.3,[26.3],1.0,24.3,13.6,26.0,25.0,1.0,24.3,0.2,27.2,26.0
2023-05-30 09:25:00,,71.0,24.4,24.4,24.4,26.4,26.4,[26.4],1.0,24.4,14.0,26.0,25.0,1.0,24.4,10.9,26.6,26.0
2023-05-30 09:30:00,,71.0,24.4,24.4,24.4,26.5,26.5,[26.5],1.0,24.4,14.4,26.0,25.0,1.0,24.4,22.1,27.2,26.0
2023-05-30 09:35:00,,71.0,24.2,24.2,24.2,26.3,26.3,[26.3],1.0,24.2,14.2,25.0,23.0,1.0,24.2,21.4,25.3,24.0
2023-05-30 09:40:00,,71.0,23.4,23.4,23.4,25.7,25.7,[25.7],1.0,23.4,13.6,24.0,23.0,1.0,23.4,21.8,25.7,24.0
2023-05-30 09:45:00,,71.0,22.8,22.8,22.8,25.4,25.4,[25.4],1.0,22.8,13.6,23.0,23.0,1.0,22.8,21.5,25.6,24.0
2023-05-30 09:50:00,,71.0,22.8,22.8,22.8,25.3,25.3,[25.3],1.0,22.8,1.7,23.0,23.0,1.0,22.8,1.0,25.3,24.0
2023-05-30 09:55:00,,71.0,24.9,24.9,24.9,25.6,25.6,[25.6],1.0,24.9,1.8,24.0,23.0,1.0,24.9,22.5,25.1,24.0
2023-05-30 10:00:00,,71.0,24.9,24.9,24.9,25.8,25.8,[25.8],1.0,24.9,23.3,25.0,23.0,1.0,24.9,0.2,25.3,24.0
2023-05-30 10:05:00,,71.0,21.2,21.1,21.15,25.4,25.4,[25.4],1.0,21.1,23.2,24.0,22.0,1.0,21.2,11.5,23.4,23.0
2023-05-30 10:10:00,,71.0,20.3,20.1,20.200000000000003,25.3,25.3,[25.3],1.0,20.1,23.2,24.0,22.0,1.0,20.3,0.8,24.8,23.0
2023-05-30 10:15:00,,71.0,20.3,20.1,20.200000000000003,25.1,25.1,[25.1],1.0,20.1,1.8,23.0,22.0,1.0,20.3,0.8,23.7,23.0
2023-05-30 10:20:00,,71.0,22.1,22.1,22.1,25.4,25.4,[25.4],1.0,22.1,1.8,24.0,22.0,1.0,22.1,23.3,24.3,23.0
2023-05-30 10:25:00,,71.0,23.6,23.6,23.6,25.4,25.4,[25.4],1.0,23.6,1.8,24.0,22.0,1.0,23.6,23.1,24.3,23.0
2023-05-30 10:30:00,,70.0,23.6,23.6,23.6,25.4,25.4,[25.4],1.0,23.6,1.8,24.0,22.0,1.0,23.6,23.2,24.3,23.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,71.0,25.5,25.5,25.5,25.5,25.5,[25.5],1.0,25.5,1.8,24.0,23.0,1.0,25.5,12.3,24.7,24.0
2023-05-30 10:45:00,,71.0,25.5,25.5,25.5,25.8,25.8,[25.8],1.0,25.5,22.9,26.0,23.0,1.0,25.5,12.2,27.0,24.0
2023-05-30 10:50:00,,71.0,21.8,21.8,21.8,25.6,25.6,[25.6],1.0,21.8,24.1,26.0,23.0,1.0,21.8,22.5,25.1,24.0
2023-05-30 10:55:00,,71.0,21.8,21.8,21.8,25.3,25.3,[25.3],1.0,21.8,23.3,24.0,23.0,1.0,21.8,12.0,24.3,24.0
2023-05-30 11:00:00,,71.0,20.8,20.8,20.8,25.3,25.3,[25.3],1.0,20.8,24.5,24.0,23.0,1.0,20.8,0.2,24.8,24.0
2023-05-30 11:05:00,,71.0,21.5,21.5,21.5,25.5,25.5,[25.5],1.0,21.5,23.3,25.0,24.0,1.0,21.5,0.2,24.9,25.0
2023-05-30 11:10:00,,71.0,21.5,21.5,21.5,25.6,25.6,[25.6],1.0,21.5,23.8,26.0,24.0,1.0,21.5,0.2,25.3,25.0
2023-05-30 11:15:00,,71.0,22.1,22.1,22.1,25.8,25.8,[25.8],1.0,22.1,23.1,26.0,24.0,1.0,22.1,0.2,25.3,25.0
2023-05-30 11:20:00,,72.0,22.4,20.9,21.65,25.8,25.8,[25.8],1.0,20.9,23.7,26.0,24.0,1.0,22.4,12.8,25.2,25.0
2023-05-30 11:25:00,,71.0,22.4,21.4,21.9,25.7,25.7,[25.7],1.0,21.4,14.2,26.0,24.0,1.0,22.4,0.2,25.7,25.0
2023-05-30 11:30:00,,70.0,22.7,22.0,22.35,25.9,25.9,[25.9],1.0,22.0,13.6,26.0,24.0,1.0,22.7,12.4,26.0,25.0
2023-05-30 11:35:00,,71.0,23.1,22.0,22.55,25.7,25.7,[25.7],1.0,22.0,13.8,25.0,23.0,1.0,23.1,24.1,25.6,24.0
2023-05-30 11:40:00,,71.0,22.0,22.0,22.0,25.5,25.5,[25.5],1.0,22.0,14.0,25.0,23.0,1.0,22.0,23.4,25.4,24.0
2023-05-30 11:45:00,,71.0,21.3,21.3,21.3,25.0,25.0,[25.0],1.0,21.3,14.9,24.0,23.0,1.0,21.3,23.4,25.2,24.0
2023-05-30 11:50:00,,71.0,21.3,21.3,21.3,24.8,24.8,[24.8],1.0,21.3,14.0,24.0,23.0,1.0,21.3,12.3,25.1,24.0
2023-05-30 11:55:00,,71.0,21.1,21.1,21.1,24.9,24.9,[24.9],1.0,21.1,14.0,25.0,23.0,1.0,21.1,12.4,25.3,24.0
2023-05-30 12:00:00,,72.0,21.1,21.1,21.1,25.0,25.0,[25.0],1.0,21.1,14.0,25.0,23.0,1.0,21.1,23.3,25.2,24.0
2023-05-30 12:05:00,,71.0,21.2,21.2,21.2,24.9,24.9,[24.9],1.0,21.2,14.3,23.0,24.0,1.0,21.2,12.1,24.3,25.0
2023-05-30 12:10:00,,71.0,21.2,21.2,21.2,25.2,25.2,[25.2],1.0,21.2,13.8,24.0,24.0,1.0,21.2,0.9,25.2,25.0
2023-05-30 12:15:00,,71.0,22.3,22.3,22.3,25.6,25.6,[25.6],1.0,22.3,14.3,25.0,24.0,1.0,22.3,0.2,25.9,25.0
2023-05-30 12:20:00,,71.0,23.3,23.3,23.3,25.7,25.7,[25.7],1.0,23.3,14.2,25.0,24.0,1.0,23.3,11.3,25.4,25.0
2023-05-30 12:25:00,,71.0,23.1,23.1,23.1,25.6,25.6,[25.6],1.0,23.1,14.2,25.0,24.0,1.0,23.1,0.9,26.0,25.0
2023-05-30 12:30:00,,71.0,22.9,22.9,22.9,25.6,25.6,[25.6],1.0,22.9,15.0,24.0,24.0,1.0,22.9,22.5,25.5,25.0
2023-05-30 12:35:00,,71.0,22.9,22.9,22.9,25.6,25.6,[25.6],1.0,22.9,14.0,25.0,25.0,1.0,22.9,0.9,26.0,26.0
2023-05-30 12:40:00,,71.0,24.7,24.7,24.7,26.1,26.1,[26.1],1.0,24.7,14.0,26.0,25.0,1.0,24.7,0.9,26.7,26.0
2023-05-30 12:45:00,,71.0,24.6,24.6,24.6,26.3,26.3,[26.3],1.0,24.6,14.1,26.0,25.0,1.0,24.6,11.5,26.6,26.0
2023-05-30 12:50:00,,71.0,24.6,24.6,24.6,26.0,26.0,[26.0],1.0,24.6,14.2,25.0,25.0,1.0,24.6,0.9,26.5,26.0
2023-05-30 12:55:00,,71.0,24.2,24.2,24.2,26.3,26.3,[26.3],1.0,24.2,14.6,26.0,25.0,1.0,24.2,0.9,27.3,26.0
2023-05-30 13:00:00,,71.0,25.0,25.0,25.0,25.9,25.9,[25.9],1.0,25.0,14.2,25.0,25.0,1.0,25.0,1.0,25.9,26.0
2023-05-30 13:05:00,,71.0,24.1,24.1,24.1,26.0,26.0,[26.0],1.0,24.1,13.8,25.0,25.0,1.0,24.1,22.1,25.5,25.0
2023-05-30 13:10:00,,71.0,24.3,24.3,24.3,25.9,25.9,[25.9],1.0,24.3,13.9,25.0,24.0,1.0,24.3,0.9,26.7,25.0
2023-05-30 13:15:00,,71.0,23.7,23.7,23.7,25.8,25.8,[25.8],1.0,23.7,13.8,24.0,24.0,1.0,23.7,22.2,25.6,25.0
2023-05-30 13:20:00,,71.0,24.1,24.1,24.1,25.9,25.9,[25.9],1.0,24.1,14.1,25.0,24.0,1.0,24.1,22.6,27.0,25.0
2023-05-30 13:25:00,,71.0,23.7,23.7,23.7,25.7,25.7,[25.7],1.0,23.7,14.2,25.0,24.0,1.0,23.7,12.1,26.0,25.0
2023-05-30 13:30:00,,72.0,23.7,23.7,23.7,25.8,25.8,[25.8],1.0,23.7,15.0,24.0,24.0,1.0,23.7,21.8,25.9,25.0
2023-05-30 13:35:00,,71.0,23.6,23.6,23.6,25.5,25.5,[25.5],1.0,23.6,14.0,25.0,23.0,1.0,23.6,11.7,26.3,24.0
2023-05-30 13:40:00,,71.0,22.9,22.9,22.9,25.3,25.3,[25.3],1.0,22.9,14.0,25.0,23.0,1.0,22.9,21.8,26.1,24.0
2023-05-30 13:45:00,,71.0,22.2,22.2,22.2,25.1,25.1,[25.1],1.0,22.2,14.9,24.0,23.0,1.0,22.2,22.1,25.5,24.0
2023-05-30 13:50:00,,71.0,22.1,22.1,22.1,24.8,24.8,[24.8],1.0,22.1,14.5,24.0,23.0,1.0,22.1,22.1,24.7,24.0
2023-05-30 13:55:00,,71.0,21.4,21.4,21.4,24.8,24.8,[24.8],1.0,21.4,14.9,24.0,23.0,1.0,21.4,22.2,25.3,24.0
2023-05-30 14:00:00,,71.0,21.4,21.4,21.4,24.7,24.7,[24.7],1.0,21.4,13.9,23.0,23.0,1.0,21.4,11.9,23.5,24.0
2023-05-30 14:05:00,,71.0,21.5,21.5,21.5,25.2,25.2,[25.2],1.0,21.5,1.8,24.0,24.0,1.0,21.5,0.9,25.5,25.0
2023-05-30 14:10:00,,71.0,23.1,23.1,23.1,25.4,25.4,[25.4],1.0,23.1,24.5,24.0,24.0,1.0,23.1,11.5,25.1,25.0
2023-05-30 14:15:00,,71.0,22.0,22.0,22.0,25.3,25.3,[25.3],1.0,22.0,24.5,24.0,24.0,1.0,22.0,0.9,25.1,25.0
2023-05-30 14:20:00,,72.0,21.3,21.3,21.3,25.3,25.3,[25.3],1.0,21.3,24.7,25.0,24.0,1.0,21.3,0.8,25.4,25.0
2023-05-30 14:25:00,,71.0,22.0,22.0,22.0,25.5,25.5,[25.5],1.0,22.0,24.2,26.0,24.0,1.0,22.0,0.9,25.7,25.0
2023-05-30 14:30:00,,71.0,22.7,22.7,22.7,25.8,25.8,[25.8],1.0,22.7,14.6,26.0,24.0,1.0,22.7,11.8,26.4,25.0
2023-05-30 14:35:00,,71.0,22.7,22.7,22.7,25.5,25.5,[25.5],1.0,22.7,14.5,25.0,24.0,1.0,22.7,22.3,25.4,25.0
2023-05-30 14:40:00,,71.0,22.8,22.8,22.8,25.5,25.5,[25.5],1.0,22.8,14.6,25.0,23.0,1.0,22.8,22.6,25.1,24.0
2023-05-30 14:45:00,,71.0,22.4,22.4,22.4,25.3,25.3,[25.3],1.0,22.4,14.5,24.0,23.0,1.0,22.4,11.8,25.3,24.0
2023-05-30 14:50:00,,71.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,14.5,24.0,23.0,1.0,22.2,23.0,24.5,24.0
2023-05-30 14:55:00,,71.0,22.6,22.6,22.6,25.2,25.2,[25.2],1.0,22.6,14.8,24.0,23.0,1.0,22.6,11.7,25.7,24.0
2023-05-30 15:00:00,,71.0,22.6,22.6,22.6,25.2,25.2,[25.2],1.0,22.6,14.8,24.0,23.0,1.0,22.6,1.0,25.0,24.0
2023-05-30 15:05:00,,71.0,23.5,23.5,23.5,25.4,25.4,[25.4],1.0,23.5,14.3,25.0,24.0,1.0,23.5,1.0,26.1,25.0
2023-05-30 15:10:00,,71.0,23.5,23.5,23.5,25.6,25.6,[25.6],1.0,23.5,14.6,24.0,24.0,1.0,23.5,22.3,24.9,25.0
2023-05-30 15:15:00,,71.0,23.0,23.0,23.0,25.6,25.6,[25.6],1.0,23.0,14.5,25.0,24.0,1.0,23.0,11.8,26.3,25.0
2023-05-30 15:20:00,,71.0,23.5,23.5,23.5,25.5,25.5,[25.5],1.0,23.5,15.1,25.0,24.0,1.0,23.5,11.9,25.8,25.0
2023-05-30 15:25:00,,71.0,23.2,23.2,23.2,25.6,25.6,[25.6],1.0,23.2,14.9,24.0,24.0,1.0,23.2,22.0,25.8,25.0
2023-05-30 15:30:00,,72.0,23.2,23.2,23.2,25.6,25.6,[25.6],1.0,23.2,14.4,25.0,24.0,1.0,23.2,1.0,26.4,25.0
2023-05-30 15:35:00,,71.0,23.6,23.6,23.6,25.5,25.5,[25.5],1.0,23.6,14.5,25.0,25.0,1.0,23.6,11.6,25.5,26.0
2023-05-30 15:40:00,,71.0,23.9,23.9,23.9,25.6,25.6,[25.6],1.0,23.9,14.3,25.0,25.0,1.0,23.9,0.9,26.3,26.0
2023-05-30 15:45:00,,71.0,25.3,25.3,25.3,26.1,26.1,[26.1],1.0,25.3,14.5,26.0,25.0,1.0,25.3,0.9,27.0,26.0
2023-05-30 15:50:00,,72.0,25.3,25.3,25.3,26.1,26.1,[26.1],1.0,25.3,14.3,26.0,25.0,1.0,25.3,11.8,27.0,26.0
2023-05-30 15:55:00,,71.0,24.4,24.4,24.4,26.1,26.1,[26.1],1.0,24.4,14.0,26.0,25.0,1.0,24.4,1.0,26.8,26.0
2023-05-30 16:00:00,,71.0,24.3,24.3,24.3,26.3,26.3,[26.3],1.0,24.3,14.2,26.0,25.0,1.0,24.3,11.6,27.3,26.0
2023-05-30 16:05:00,,70.0,24.3,24.3,24.3,26.0,26.0,[26.0],1.0,24.3,14.6,26.0,24.0,1.0,24.3,22.0,27.0,24.0
2023-05-30 16:10:00,,71.0,23.0,23.0,23.0,25.7,25.7,[25.7],1.0,23.0,14.5,25.0,24.0,1.0,23.0,22.3,26.3,24.0
2023-05-30 16:15:00,,71.0,22.4,22.4,22.4,25.3,25.3,[25.3],1.0,22.4,13.8,25.0,24.0,1.0,22.4,22.0,25.7,24.0
2023-05-30 16:20:00,,71.0,22.0,22.0,22.0,25.1,25.1,[25.1],1.0,22.0,15.0,24.0,24.0,1.0,22.0,22.1,25.4,24.0
2023-05-30 16:25:00,,71.0,21.9,21.9,21.9,24.9,24.9,[24.9],1.0,21.9,14.6,24.0,24.0,1.0,21.9,22.2,24.9,24.0
2023-05-30 16:30:00,,71.0,22.5,22.5,22.5,25.0,25.0,[25.0],1.0,22.5,2.3,24.0,24.0,1.0,22.5,0.9,24.6,24.0
2023-05-30 16:35:00,,71.0,23.6,23.6,23.6,25.3,25.3,[25.3],1.0,23.6,1.8,24.0,24.0,1.0,23.6,12.0,24.2,24.0
2023-05-30 16:40:00,,72.0,23.6,23.6,23.6,25.7,25.7,[25.7],1.0,23.6,1.8,25.0,25.0,1.0,23.6,0.8,26.2,25.0
2023-05-30 16:45:00,,71.0,23.9,23.9,23.9,25.5,25.5,[25.5],1.0,23.9,24.2,25.0,25.0,1.0,23.9,10.8,25.9,25.0
2023-05-30 16:50:00,,71.0,21.8,21.3,21.55,25.3,25.3,[25.3],1.0,21.3,23.6,25.0,25.0,1.0,21.8,1.0,25.4,25.0
2023-05-30 16:55:00,,70.0,21.8,20.9,21.35,25.4,25.4,[25.4],1.0,20.9,23.7,25.0,25.0,1.0,21.8,0.2,25.5,25.0
2023-05-30 17:00:00,,71.0,22.4,21.4,21.9,25.5,25.5,[25.5],1.0,21.4,14.8,25.0,25.0,1.0,22.4,0.2,25.8,25.0
2023-05-30 17:05:00,,71.0,22.4,21.4,21.9,25.7,25.7,[25.7],1.0,21.4,14.0,26.0,25.0,1.0,22.4,11.2,26.2,25.0
2023-05-30 17:10:00,,72.0,22.9,22.3,22.6,25.7,25.7,[25.7],1.0,22.3,14.1,26.0,26.0,1.0,22.9,0.4,26.4,26.0
2023-05-30 17:15:00,,71.0,23.3,22.3,22.8,26.0,26.0,[26.0],1.0,22.3,13.3,26.0,26.0,1.0,23.3,11.6,26.9,26.0
2023-05-30 17:20:00,,72.0,23.7,23.7,23.7,25.9,25.9,[25.9],1.0,23.7,14.2,25.0,26.0,1.0,23.7,22.8,26.3,26.0
2023-05-30 17:25:00,,71.0,23.1,23.1,23.1,26.1,26.1,[26.1],1.0,23.1,13.9,26.0,26.0,1.0,23.1,0.2,26.9,26.0
2023-05-30 17:30:00,,71.0,23.6,23.6,23.6,26.1,26.1,[26.1],1.0,23.6,13.7,26.0,26.0,1.0,23.6,12.4,26.9,26.0
2023-05-30 17:35:00,,71.0,23.1,23.1,23.1,25.9,25.9,[25.9],1.0,23.1,14.0,25.0,25.0,1.0,23.1,23.3,25.8,25.0
2023-05-30 17:40:00,,71.0,23.1,23.1,23.1,25.6,25.6,[25.6],1.0,23.1,14.0,25.0,25.0,1.0,23.1,12.3,26.6,25.0
2023-05-30 17:45:00,,71.0,22.8,22.8,22.8,25.5,25.5,[25.5],1.0,22.8,14.2,25.0,25.0,1.0,22.8,23.2,25.9,25.0
2023-05-30 17:50:00,,71.0,22.4,22.4,22.4,25.2,25.2,[25.2],1.0,22.4,14.0,25.0,25.0,1.0,22.4,12.4,25.8,25.0
2023-05-30 17:55:00,,71.0,21.9,21.9,21.9,25.2,25.2,[25.2],1.0,21.9,13.9,26.0,25.0,1.0,21.9,12.3,26.3,25.0
2023-05-30 18:00:00,,70.0,21.9,21.9,21.9,25.3,25.3,[25.3],1.0,21.9,13.8,26.0,25.0,1.0,21.9,12.4,26.2,25.0
2023-05-30 18:05:00,,70.0,21.9,21.9,21.9,25.5,25.5,[25.5],1.0,21.9,14.1,25.0,26.0,1.0,21.9,0.0,25.8,26.0
2023-05-30 18:10:00,,70.0,22.4,22.4,22.4,25.9,25.9,[25.9],1.0,22.4,13.6,25.0,26.0,1.0,22.4,0.0,26.3,26.0
2023-05-30 18:15:00,,71.0,24.9,24.9,24.9,26.5,26.5,[26.5],1.0,24.9,13.7,26.0,26.0,1.0,24.9,0.0,26.9,26.0
2023-05-30 18:20:00,,71.0,24.9,24.9,24.9,26.4,26.4,[26.4],1.0,24.9,14.0,26.0,26.0,1.0,24.9,23.8,26.2,26.0
2023-05-30 18:25:00,,71.0,24.1,24.1,24.1,26.2,26.2,[26.2],1.0,24.1,13.9,26.0,26.0,1.0,24.1,0.2,27.0,26.0
2023-05-30 18:30:00,,71.0,24.3,24.3,24.3,26.3,26.3,[26.3],1.0,24.3,14.2,26.0,26.0,1.0,24.3,11.5,27.1,26.0
2023-05-30 18:35:00,,70.0,23.6,23.6,23.6,26.1,26.1,[26.1],1.0,23.6,13.6,25.0,25.0,1.0,23.6,23.0,25.9,25.0
2023-05-30 18:40:00,,71.0,24.0,24.0,24.0,25.9,25.9,[25.9],1.0,24.0,14.0,25.0,25.0,1.0,24.0,0.2,26.5,25.0
2023-05-30 18:45:00,,70.0,23.4,23.4,23.4,25.8,25.8,[25.8],1.0,23.4,14.2,24.0,25.0,1.0,23.4,23.0,25.6,25.0
2023-05-30 18:50:00,,72.0,23.9,23.9,23.9,25.9,25.9,[25.9],1.0,23.9,14.2,25.0,25.0,1.0,23.9,23.2,26.7,25.0
2023-05-30 18:55:00,,71.0,,,,25.7,25.7,[25.7],1.0,,13.9,24.0,25.0,1.0,,12.5,25.6,25.0
2023-05-30 19:00:00,,70.0,23.5,23.5,23.5,25.8,25.8,[25.8],1.0,23.5,14.1,25.0,25.0,1.0,23.5,23.0,25.6,25.0
2023-05-30 19:05:00,,70.0,22.9,22.9,22.9,25.6,25.6,[25.6],1.0,22.9,13.4,25.0,24.0,1.0,22.9,11.8,25.9,24.0
2023-05-30 19:10:00,,70.0,22.4,22.4,22.4,25.4,25.4,[25.4],1.0,22.4,14.0,25.0,24.0,1.0,22.4,23.2,25.9,24.0
2023-05-30 19:15:00,,71.0,22.0,22.0,22.0,25.1,25.1,[25.1],1.0,22.0,14.0,24.0,24.0,1.0,22.0,23.3,25.1,24.0
2023-05-30 19:20:00,,71.0,21.9,21.9,21.9,24.9,24.9,[24.9],1.0,21.9,14.1,23.0,24.0,1.0,21.9,23.2,24.1,24.0
2023-05-30 19:25:00,,70.0,21.6,21.6,21.6,25.3,25.3,[25.3],1.0,21.6,13.7,24.0,24.0,1.0,21.6,0.2,25.4,24.0
2023-05-30 19:30:00,,70.0,22.6,22.6,22.6,25.2,25.2,[25.2],1.0,22.6,14.3,24.0,24.0,1.0,22.6,23.1,25.4,24.0
2023-05-30 19:35:00,,71.0,22.4,22.4,22.4,25.2,25.2,[25.2],1.0,22.4,13.9,24.0,25.0,1.0,22.4,0.0,25.3,25.0
2023-05-30 19:40:00,,70.0,23.5,23.5,23.5,25.5,25.5,[25.5],1.0,23.5,14.0,25.0,25.0,1.0,23.5,0.0,25.5,25.0
2023-05-30 19:45:00,,71.0,23.5,23.5,23.5,25.5,25.5,[25.5],1.0,23.5,13.9,25.0,25.0,1.0,23.5,22.8,26.1,25.0
2023-05-30 19:50:00,,70.0,22.3,22.3,22.3,25.3,25.3,[25.3],1.0,22.3,14.0,25.0,25.0,1.0,22.3,12.2,25.7,25.0
2023-05-30 19:55:00,,70.0,22.0,22.0,22.0,25.2,25.2,[25.2],1.0,22.0,13.7,25.0,25.0,1.0,22.0,11.6,26.3,25.0
2023-05-30 20:00:00,,70.0,22.0,22.0,22.0,25.2,25.2,[25.2],1.0,22.0,13.8,25.0,25.0,1.0,22.0,11.7,26.3,25.0
2023-05-30 20:05:00,,70.0,21.8,21.8,21.8,25.3,25.3,[25.3],1.0,21.8,13.8,26.0,25.0,1.0,21.8,11.7,26.3,25.0
2023-05-30 20:10:00,,70.0,21.8,21.8,21.8,25.3,25.3,[25.3],1.0,21.8,13.8,26.0,25.0,1.0,21.8,11.6,26.2,25.0
2023-05-30 20:15:00,,71.0,21.8,21.8,21.8,25.3,25.3,[25.3],1.0,21.8,14.0,26.0,25.0,1.0,21.8,11.6,26.2,25.0
2023-05-30 20:20:00,,70.0,21.8,21.8,21.8,25.3,25.3,[25.3],1.0,21.8,13.9,26.0,25.0,1.0,21.8,11.5,26.2,25.0
2023-05-30 20:25:00,,71.0,21.8,21.8,21.8,25.3,25.3,[25.3],1.0,21.8,13.7,26.0,25.0,1.0,21.8,11.7,26.3,25.0
2023-05-30 20:30:00,,70.0,21.8,21.8,21.8,25.4,25.4,[25.4],1.0,21.8,14.0,26.0,25.0,1.0,21.8,11.6,26.3,25.0
2023-05-30 20:35:00,,70.0,21.8,21.8,21.8,25.4,25.4,[25.4],1.0,21.8,14.0,25.0,26.0,1.0,21.8,0.2,25.7,26.0
2023-05-30 20:40:00,,71.0,23.5,23.5,23.5,26.0,26.0,[26.0],1.0,23.5,14.0,25.0,26.0,1.0,23.5,0.0,26.1,26.0
2023-05-30 20:45:00,,71.0,23.5,23.5,23.5,26.4,26.4,[26.4],1.0,23.5,14.1,26.0,26.0,1.0,23.5,0.0,26.7,26.0
2023-05-30 20:50:00,,72.0,24.4,24.4,24.4,26.5,26.5,[26.5],1.0,24.4,14.1,26.0,26.0,1.0,24.4,22.7,26.8,26.0
2023-05-30 20:55:00,,71.0,24.4,24.4,24.4,26.1,26.1,[26.1],1.0,24.4,13.5,26.0,26.0,1.0,24.4,0.8,26.5,26.0
2023-05-30 21:00:00,,70.0,24.5,24.5,24.5,26.4,26.4,[26.4],1.0,24.5,13.6,26.0,26.0,1.0,24.5,0.0,27.1,26.0
2023-05-30 21:05:00,,71.0,24.5,24.5,24.5,25.9,25.9,[25.9],1.0,24.5,13.7,24.0,24.0,1.0,24.5,23.0,25.8,24.0
2023-05-30 21:10:00,,70.0,22.8,22.8,22.8,25.6,25.6,[25.6],1.0,22.8,13.7,25.0,24.0,1.0,22.8,23.3,25.8,24.0
2023-05-30 21:15:00,,70.0,22.8,22.8,22.8,25.1,25.1,[25.1],1.0,22.8,13.9,24.0,24.0,1.0,22.8,23.4,25.4,24.0
2023-05-30 21:20:00,,70.0,21.7,21.7,21.7,24.9,24.9,[24.9],1.0,21.7,13.4,24.0,24.0,1.0,21.7,23.3,25.0,24.0
2023-05-30 21:25:00,,70.0,21.9,21.9,21.9,24.9,24.9,[24.9],1.0,21.9,1.8,23.0,24.0,1.0,21.9,0.2,24.4,24.0
2023-05-30 21:30:00,,70.0,21.9,21.9,21.9,25.3,25.3,[25.3],1.0,21.9,1.8,24.0,24.0,1.0,21.9,24.2,24.3,25.0
2023-05-30 21:35:00,,70.0,23.7,23.7,23.7,25.4,25.4,[25.4],1.0,23.7,1.8,25.0,25.0,1.0,23.7,13.0,25.7,25.0
2023-05-30 21:40:00,,70.0,24.6,24.6,24.6,25.7,25.7,[25.7],1.0,24.6,23.2,24.0,25.0,1.0,24.6,23.0,24.9,25.0
2023-05-30 21:45:00,,70.0,22.7,22.7,22.7,25.4,25.4,[25.4],1.0,22.7,23.3,24.0,25.0,1.0,22.7,0.0,25.3,25.0
2023-05-30 21:50:00,,70.0,22.0,22.0,22.0,25.4,25.4,[25.4],1.0,22.0,23.3,25.0,25.0,1.0,22.0,0.0,25.5,25.0
2023-05-30 21:55:00,,70.0,22.3,22.3,22.3,25.6,25.6,[25.6],1.0,22.3,13.9,26.0,25.0,1.0,22.3,0.0,25.7,25.0
2023-05-30 22:00:00,,70.0,22.5,22.3,22.4,25.9,25.9,[25.9],1.0,22.3,13.6,26.0,25.0,1.0,22.5,11.8,25.7,25.0
2023-05-30 22:05:00,,70.0,22.9,22.9,22.9,25.8,25.8,[25.8],1.0,22.9,13.6,26.0,24.0,1.0,22.9,0.3,26.4,26.0
2023-05-30 22:10:00,,71.0,24.3,24.3,24.3,26.3,26.3,[26.3],1.0,24.3,13.7,26.0,24.0,1.0,24.3,12.1,27.2,26.0
2023-05-30 22:15:00,,71.0,23.4,23.4,23.4,25.9,25.9,[25.9],1.0,23.4,13.9,25.0,24.0,1.0,23.4,23.6,26.0,26.0
2023-05-30 22:20:00,,71.0,24.1,24.1,24.1,26.1,26.1,[26.1],1.0,24.1,13.6,26.0,24.0,1.0,24.1,0.0,26.8,26.0
2023-05-30 22:25:00,,70.0,24.1,24.1,24.1,26.3,26.3,[26.3],1.0,24.1,14.3,26.0,24.0,1.0,24.1,23.6,26.9,26.0
2023-05-30 22:30:00,,71.0,24.3,24.3,24.3,26.1,26.1,[26.1],1.0,24.3,13.8,26.0,24.0,1.0,24.3,0.0,26.8,26.0
2023-05-30 22:35:00,,70.0,24.3,24.3,24.3,26.2,26.2,[26.2],1.0,24.3,13.6,25.0,23.0,1.0,24.3,23.6,26.4,25.0
2023-05-30 22:40:00,,70.0,24.2,24.2,24.2,25.9,25.9,[25.9],1.0,24.2,13.7,25.0,23.0,1.0,24.2,0.2,26.4,25.0
2023-05-30 22:45:00,,71.0,23.7,23.7,23.7,25.8,25.8,[25.8],1.0,23.7,14.1,24.0,23.0,1.0,23.7,23.8,25.5,25.0
2023-05-30 22:50:00,,72.0,23.7,23.7,23.7,25.9,25.9,[25.9],1.0,23.7,13.7,25.0,23.0,1.0,23.7,0.0,26.3,25.0
2023-05-30 22:55:00,,70.0,24.1,24.1,24.1,25.8,25.8,[25.8],1.0,24.1,13.6,25.0,23.0,1.0,24.1,0.9,25.9,25.0
