time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3818463_c,3818463_r,3818463_s,3818464_c,3818464_h,3818464_r,3818464_s,3818465_c,3818465_h,3818465_r,3818465_s,3818466_c,3818466_h,3818466_r,3818466_s,3818467_c,3818467_h,3818467_r,3818467_s,3818468_c,3818468_r,3818468_s,3818469_c,3818469_r,3818469_s,3818470_c,3818470_h,3818470_r,3818470_s
2023-05-30 11:10:00,,35.6,32.0,24.8,27.779999999999998,23.8,23.8,[23.8],1.0,26.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.3,24.8,25.0,1.0,24.7,24.0,1.0,25.4,24.0,1.0,32.0,25.0,25.0
2023-05-30 11:15:00,,35.6,31.8,24.7,27.58,23.7,23.7,[23.7],1.0,25.0,25.0,1.0,24.7,27.0,25.0,1.0,24.7,26.0,25.0,1.0,31.8,27.0,25.0,1.0,24.9,24.8,25.0,1.0,24.6,24.0,1.0,25.4,24.0,1.0,31.8,25.0,25.0
2023-05-30 11:20:00,,35.61,31.8,24.7,27.620000000000005,24.1,24.1,[24.1],1.0,26.0,25.0,1.0,24.7,27.0,25.0,1.0,24.7,27.0,25.0,1.0,31.8,27.0,25.0,1.0,25.1,25.4,25.0,1.0,25.7,24.0,1.0,25.7,24.0,1.0,31.8,26.0,25.0
2023-05-30 11:25:00,,35.629999999999995,32.0,24.9,27.880000000000003,24.5,24.5,[24.5],1.0,26.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,27.0,25.0,1.0,32.0,27.0,25.0,1.0,25.6,25.8,25.0,1.0,25.9,24.0,1.0,26.0,24.0,1.0,32.0,26.0,25.0
2023-05-30 11:30:00,,35.61,32.1,24.9,27.92,24.1,24.1,[24.1],1.0,26.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.6,25.2,25.0,1.0,24.9,24.0,1.0,25.7,24.0,1.0,32.1,25.0,25.0
2023-05-30 11:35:00,,35.61,32.0,24.9,27.8,23.9,23.9,[23.9],1.0,26.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.2,24.8,25.0,1.0,24.9,24.0,1.0,25.4,24.0,1.0,32.0,25.0,25.0
2023-05-30 11:40:00,,35.6,32.0,24.7,27.660000000000004,23.7,23.7,[23.7],1.0,26.0,25.0,1.0,24.7,27.0,25.0,1.0,24.7,26.0,25.0,1.0,32.0,27.0,25.0,1.0,24.9,24.8,25.0,1.0,24.7,24.0,1.0,25.5,24.0,1.0,32.0,25.0,25.0
2023-05-30 11:45:00,,35.61,31.8,24.7,27.56,23.9,23.9,[23.9],1.0,25.0,25.0,1.0,24.7,27.0,25.0,1.0,24.7,26.0,25.0,1.0,31.8,27.0,25.0,1.0,24.8,25.1,25.0,1.0,25.1,24.0,1.0,25.5,24.0,1.0,31.8,25.0,25.0
2023-05-30 11:50:00,,35.629999999999995,31.8,24.8,27.6,24.4,24.4,[24.4],1.0,26.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,27.0,25.0,1.0,31.8,27.0,25.0,1.0,24.8,25.7,25.0,1.0,26.1,24.0,1.0,26.0,24.0,1.0,31.8,26.0,25.0
2023-05-30 11:55:00,,35.620000000000005,32.1,25.0,27.92,24.2,24.2,[24.2],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.4,25.5,25.0,1.0,25.4,24.0,1.0,25.8,24.0,1.0,32.1,25.0,25.0
2023-05-30 12:00:00,,35.61,32.1,25.0,27.9,23.9,23.9,[23.9],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.3,24.8,25.0,1.0,25.0,24.0,1.0,25.6,24.0,1.0,32.1,25.0,25.0
2023-05-30 12:05:00,,35.61,32.1,24.8,27.82,23.8,23.8,[23.8],1.0,26.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.3,24.8,25.0,1.0,24.9,24.0,1.0,25.6,24.0,1.0,32.1,25.0,25.0
2023-05-30 12:10:00,,35.61,31.9,24.8,27.660000000000004,23.8,23.8,[23.8],1.0,25.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,26.0,25.0,1.0,31.9,27.0,25.0,1.0,24.9,24.8,25.0,1.0,24.7,24.0,1.0,25.6,24.0,1.0,31.9,25.0,25.0
2023-05-30 12:15:00,,35.6,31.8,24.8,27.6,23.7,23.7,[23.7],1.0,25.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,26.0,25.0,1.0,31.8,26.0,25.0,1.0,24.8,24.8,25.0,1.0,24.6,24.0,1.0,25.4,24.0,1.0,31.8,25.0,25.0
2023-05-30 12:20:00,,35.6,31.7,24.6,27.48,23.7,23.7,[23.7],1.0,25.0,25.0,1.0,24.6,27.0,25.0,1.0,24.6,26.0,25.0,1.0,31.7,27.0,25.0,1.0,24.8,24.8,25.0,1.0,25.0,24.0,1.0,25.3,24.0,1.0,31.7,25.0,25.0
2023-05-30 12:25:00,,35.620000000000005,31.8,24.7,27.540000000000003,24.3,24.3,[24.3],1.0,26.0,25.0,1.0,24.7,27.0,25.0,1.0,24.7,26.0,25.0,1.0,31.8,27.0,25.0,1.0,24.7,25.7,25.0,1.0,25.7,24.0,1.0,25.8,24.0,1.0,31.8,26.0,25.0
2023-05-30 12:30:00,,35.620000000000005,32.0,25.0,27.84,24.4,24.4,[24.4],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,27.0,25.0,1.0,32.0,27.0,25.0,1.0,25.2,25.5,25.0,1.0,25.7,24.0,1.0,26.0,24.0,1.0,32.0,25.0,25.0
2023-05-30 12:35:00,,35.61,32.0,25.0,27.860000000000003,24.0,24.0,[24.0],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.3,25.2,25.0,1.0,25.1,24.0,1.0,25.6,24.0,1.0,32.0,25.0,25.0
2023-05-30 12:40:00,,35.61,32.0,25.0,27.82,23.8,23.8,[23.8],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.1,24.8,25.0,1.0,24.9,24.0,1.0,25.6,24.0,1.0,32.0,25.0,25.0
2023-05-30 12:45:00,,35.6,31.9,24.9,27.7,23.8,23.8,[23.8],1.0,26.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,26.0,25.0,1.0,31.9,27.0,25.0,1.0,24.9,24.8,25.0,1.0,24.8,24.0,1.0,25.5,24.0,1.0,31.9,25.0,25.0
2023-05-30 12:50:00,,35.59,31.8,24.7,27.58,23.7,23.7,[23.7],1.0,25.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,26.0,25.0,1.0,31.8,27.0,25.0,1.0,24.7,24.8,25.0,1.0,24.8,24.0,1.0,25.3,24.0,1.0,31.8,25.0,25.0
