time,outdoor_t,room_total_power,env_avg,env_h,env_list,3804556_c,3804556_p,3804556_r,3804556_s
2023-05-30 09:05:00,,23.87,27.7,27.7,[27.7],1.0,0.13,28.3,26.0
2023-05-30 09:10:00,,23.87,27.6,27.6,[27.6],1.0,0.13,28.4,26.0
2023-05-30 09:15:00,,23.85,27.7,27.7,[27.7],1.0,0.13,29.3,26.0
2023-05-30 09:20:00,,23.86,27.7,27.7,[27.7],1.0,0.13,28.6,26.0
2023-05-30 09:25:00,,23.93,27.7,27.7,[27.7],1.0,0.13,28.6,26.0
2023-05-30 09:30:00,,23.71,27.8,27.8,[27.8],1.0,0.13,29.3,26.0
2023-05-30 09:35:00,,23.97,27.7,27.7,[27.7],1.0,0.13,28.7,26.0
2023-05-30 09:40:00,,23.72,27.7,27.7,[27.7],1.0,0.13,29.4,26.0
2023-05-30 09:45:00,,23.9,27.7,27.7,[27.7],1.0,0.14,28.7,26.0
2023-05-30 09:50:00,,23.51,27.7,27.7,[27.7],1.0,0.13,29.2,26.0
2023-05-30 09:55:00,,23.68,27.7,27.7,[27.7],1.0,0.14,29.1,26.0
2023-05-30 10:00:00,,23.66,27.7,27.7,[27.7],1.0,0.14,28.6,26.0
2023-05-30 10:05:00,,23.69,27.7,27.7,[27.7],1.0,0.13,29.2,26.0
2023-05-30 10:10:00,,23.65,27.7,27.7,[27.7],1.0,0.14,29.2,26.0
2023-05-30 10:15:00,,23.77,27.6,27.6,[27.6],1.0,0.14,28.7,26.0
2023-05-30 10:20:00,,23.73,27.6,27.6,[27.6],1.0,0.14,28.7,26.0
2023-05-30 10:25:00,,23.78,27.6,27.6,[27.6],1.0,0.13,29.1,26.0
2023-05-30 10:30:00,,23.58,27.6,27.6,[27.6],1.0,0.13,29.1,26.0
2023-05-30 10:35:00,,,,,,,,,
2023-05-30 10:40:00,,23.69,27.6,27.6,[27.6],1.0,0.14,29.1,26.0
2023-05-30 10:45:00,,23.68,27.6,27.6,[27.6],1.0,0.13,28.6,26.0
2023-05-30 10:50:00,,23.67,27.7,27.7,[27.7],1.0,0.14,29.2,26.0
2023-05-30 10:55:00,,23.67,27.5,27.5,[27.5],1.0,0.13,28.8,26.0
2023-05-30 11:00:00,,23.66,27.6,27.6,[27.6],1.0,0.13,29.2,26.0
2023-05-30 11:05:00,,23.72,27.6,27.6,[27.6],1.0,0.14,29.0,26.0
2023-05-30 11:10:00,,23.53,27.6,27.6,[27.6],1.0,0.13,29.2,26.0
2023-05-30 11:15:00,,23.520000000000003,27.5,27.5,[27.5],1.0,0.13,29.0,26.0
2023-05-30 11:20:00,,23.75,27.5,27.5,[27.5],1.0,0.13,28.9,26.0
2023-05-30 11:25:00,,23.630000000000003,27.6,27.6,[27.6],1.0,0.13,29.0,26.0
2023-05-30 11:30:00,,23.75,27.5,27.5,[27.5],1.0,0.14,28.7,26.0
2023-05-30 11:35:00,,23.51,27.5,27.5,[27.5],1.0,0.14,29.3,26.0
2023-05-30 11:40:00,,23.74,27.5,27.5,[27.5],1.0,0.14,29.0,26.0
2023-05-30 11:45:00,,23.53,27.6,27.6,[27.6],1.0,0.14,29.2,26.0
2023-05-30 11:50:00,,23.74,27.5,27.5,[27.5],1.0,0.14,28.8,26.0
2023-05-30 11:55:00,,23.55,27.6,27.6,[27.6],1.0,0.14,29.2,26.0
2023-05-30 12:00:00,,23.76,27.6,27.6,[27.6],1.0,0.14,28.9,26.0
2023-05-30 12:05:00,,23.78,27.5,27.5,[27.5],1.0,0.14,29.3,26.0
2023-05-30 12:10:00,,23.8,27.5,27.5,[27.5],1.0,0.14,28.8,26.0
2023-05-30 12:15:00,,23.72,27.6,27.6,[27.6],1.0,0.14,29.3,26.0
2023-05-30 12:20:00,,23.6,27.6,27.6,[27.6],1.0,0.14,29.4,26.0
2023-05-30 12:25:00,,23.72,27.6,27.6,[27.6],1.0,0.14,29.0,26.0
2023-05-30 12:30:00,,23.53,27.7,27.7,[27.7],1.0,0.14,29.5,26.0
2023-05-30 12:35:00,,23.7,27.5,27.5,[27.5],1.0,0.14,29.0,26.0
2023-05-30 12:40:00,,23.630000000000003,27.5,27.5,[27.5],1.0,0.14,29.4,26.0
2023-05-30 12:45:00,,23.51,27.5,27.5,[27.5],1.0,0.14,29.0,26.0
2023-05-30 12:50:00,,23.78,27.5,27.5,[27.5],1.0,0.13,29.5,26.0
2023-05-30 12:55:00,,23.56,27.6,27.6,[27.6],1.0,0.14,29.6,26.0
2023-05-30 13:00:00,,23.69,27.5,27.5,[27.5],1.0,0.14,29.1,26.0
2023-05-30 13:05:00,,23.72,27.5,27.5,[27.5],1.0,0.14,29.4,26.0
2023-05-30 13:10:00,,23.630000000000003,27.5,27.5,[27.5],1.0,0.14,29.4,26.0
2023-05-30 13:15:00,,23.71,27.6,27.6,[27.6],1.0,0.14,29.3,26.0
2023-05-30 13:20:00,,23.55,27.5,27.5,[27.5],1.0,0.14,29.6,26.0
2023-05-30 13:25:00,,23.47,27.6,27.6,[27.6],1.0,0.14,29.6,26.0
2023-05-30 13:30:00,,23.71,27.6,27.6,[27.6],1.0,0.14,29.1,26.0
2023-05-30 13:35:00,,23.64,27.5,27.5,[27.5],1.0,0.14,29.6,26.0
2023-05-30 13:40:00,,23.69,27.5,27.5,[27.5],1.0,0.14,29.3,26.0
2023-05-30 13:45:00,,23.68,27.5,27.5,[27.5],1.0,0.14,29.6,26.0
2023-05-30 13:50:00,,23.57,27.5,27.5,[27.5],1.0,0.14,29.6,26.0
2023-05-30 13:55:00,,23.73,27.5,27.5,[27.5],1.0,0.14,29.4,26.0
2023-05-30 14:00:00,,23.72,27.5,27.5,[27.5],1.0,0.15,29.8,26.0
2023-05-30 14:05:00,,23.700000000000003,27.5,27.5,[27.5],1.0,0.14,29.1,26.0
2023-05-30 14:10:00,,23.55,27.7,27.7,[27.7],1.0,0.14,29.7,26.0
2023-05-30 14:15:00,,23.680000000000003,27.9,27.9,[27.9],1.0,0.14,30.0,26.0
2023-05-30 14:20:00,,23.75,27.8,27.8,[27.8],1.0,0.14,29.9,26.0
2023-05-30 14:25:00,,23.68,27.6,27.6,[27.6],1.0,0.15,29.8,26.0
2023-05-30 14:30:00,,23.63,27.4,27.4,[27.4],1.0,0.14,30.5,26.0
2023-05-30 14:35:00,,23.55,27.4,27.4,[27.4],1.0,0.14,30.3,26.0
2023-05-30 14:40:00,,23.85,27.4,27.4,[27.4],1.0,0.14,30.0,26.0
2023-05-30 14:45:00,,23.73,27.6,27.6,[27.6],1.0,0.14,30.5,26.0
2023-05-30 14:50:00,,23.81,27.6,27.6,[27.6],1.0,0.14,30.2,26.0
2023-05-30 14:55:00,,23.82,27.7,27.7,[27.7],1.0,0.14,30.3,26.0
2023-05-30 15:00:00,,23.64,27.8,27.8,[27.8],1.0,0.14,30.6,26.0
2023-05-30 15:05:00,,24.16,28.1,28.1,[28.1],1.0,0.14,30.3,26.0
2023-05-30 15:10:00,,23.78,28.2,28.2,[28.2],1.0,0.14,30.2,26.0
2023-05-30 15:15:00,,23.57,28.0,28.0,[28.0],1.0,0.14,30.2,26.0
2023-05-30 15:20:00,,23.79,27.7,27.7,[27.7],1.0,0.14,30.3,26.0
2023-05-30 15:25:00,,23.57,27.6,27.6,[27.6],1.0,0.14,30.0,26.0
2023-05-30 15:30:00,,23.71,27.4,27.4,[27.4],1.0,0.14,29.8,26.0
2023-05-30 15:35:00,,23.54,27.6,27.6,[27.6],1.0,0.14,29.7,26.0
2023-05-30 15:40:00,,23.74,27.6,27.6,[27.6],1.0,0.14,29.9,26.0
2023-05-30 15:45:00,,23.65,27.6,27.6,[27.6],1.0,0.15,30.0,26.0
2023-05-30 15:50:00,,23.49,27.5,27.5,[27.5],1.0,0.14,29.7,26.0
2023-05-30 15:55:00,,23.68,27.9,27.9,[27.9],1.0,0.14,29.9,26.0
2023-05-30 16:00:00,,23.69,28.1,28.1,[28.1],1.0,0.15,30.1,26.0
2023-05-30 16:05:00,,23.65,27.9,27.9,[27.9],1.0,0.14,29.7,26.0
2023-05-30 16:10:00,,23.45,27.6,27.6,[27.6],1.0,0.14,29.9,26.0
2023-05-30 16:15:00,,23.59,27.5,27.5,[27.5],1.0,0.14,30.1,26.0
2023-05-30 16:20:00,,23.63,27.5,27.5,[27.5],1.0,0.14,29.5,26.0
2023-05-30 16:25:00,,23.7,27.8,27.8,[27.8],1.0,0.14,29.9,26.0
2023-05-30 16:30:00,,23.55,28.0,28.0,[28.0],1.0,0.14,30.1,26.0
2023-05-30 16:35:00,,23.65,27.9,27.9,[27.9],1.0,0.14,29.7,26.0
2023-05-30 16:40:00,,23.54,27.6,27.6,[27.6],1.0,0.14,29.9,26.0
2023-05-30 16:45:00,,23.72,27.8,27.8,[27.8],1.0,0.14,29.6,26.0
2023-05-30 16:50:00,,23.66,28.0,28.0,[28.0],1.0,0.14,29.5,26.0
2023-05-30 16:55:00,,23.51,28.1,28.1,[28.1],1.0,0.14,29.9,26.0
2023-05-30 17:00:00,,23.66,27.9,27.9,[27.9],1.0,0.14,29.4,26.0
2023-05-30 17:05:00,,23.45,27.7,27.7,[27.7],1.0,0.14,29.3,26.0
2023-05-30 17:10:00,,23.6,27.6,27.6,[27.6],1.0,0.14,29.6,26.0
2023-05-30 17:15:00,,23.58,27.6,27.6,[27.6],1.0,0.14,29.9,26.0
2023-05-30 17:20:00,,23.81,27.7,27.7,[27.7],1.0,0.14,29.6,26.0
2023-05-30 17:25:00,,23.6,27.8,27.8,[27.8],1.0,0.14,29.8,26.0
2023-05-30 17:30:00,,23.6,27.8,27.8,[27.8],1.0,0.14,29.7,26.0
2023-05-30 17:35:00,,23.700000000000003,27.7,27.7,[27.7],1.0,0.14,29.8,26.0
2023-05-30 17:40:00,,23.67,27.7,27.7,[27.7],1.0,0.14,29.5,26.0
2023-05-30 17:45:00,,23.69,27.8,27.8,[27.8],1.0,0.14,29.9,26.0
2023-05-30 17:50:00,,23.73,27.7,27.7,[27.7],1.0,0.14,29.5,26.0
2023-05-30 17:55:00,,23.53,27.7,27.7,[27.7],1.0,0.14,30.0,26.0
2023-05-30 18:00:00,,23.75,27.7,27.7,[27.7],1.0,0.15,29.8,26.0
2023-05-30 18:05:00,,23.77,27.7,27.7,[27.7],1.0,0.13,29.7,26.0
2023-05-30 18:10:00,,23.76,28.0,28.0,[28.0],1.0,0.14,29.5,26.0
2023-05-30 18:15:00,,23.77,27.9,27.9,[27.9],1.0,0.13,29.7,26.0
2023-05-30 18:20:00,,23.71,27.8,27.8,[27.8],1.0,0.13,29.4,26.0
2023-05-30 18:25:00,,23.65,27.7,27.7,[27.7],1.0,0.13,29.2,26.0
2023-05-30 18:30:00,,23.69,27.8,27.8,[27.8],1.0,0.14,29.8,26.0
2023-05-30 18:35:00,,23.71,27.8,27.8,[27.8],1.0,0.13,29.3,26.0
2023-05-30 18:40:00,,23.71,27.8,27.8,[27.8],1.0,0.14,29.2,26.0
2023-05-30 18:45:00,,23.8,28.0,28.0,[28.0],1.0,0.13,29.1,26.0
2023-05-30 18:50:00,,23.67,27.9,27.9,[27.9],1.0,0.13,29.1,26.0
2023-05-30 18:55:00,,23.69,27.8,27.8,[27.8],1.0,0.13,29.0,26.0
2023-05-30 19:00:00,,23.78,28.0,28.0,[28.0],1.0,0.14,29.0,26.0
2023-05-30 19:05:00,,23.85,28.0,28.0,[28.0],1.0,0.14,29.1,26.0
2023-05-30 19:10:00,,23.77,28.1,28.1,[28.1],1.0,0.14,29.6,26.0
2023-05-30 19:15:00,,23.81,27.9,27.9,[27.9],1.0,0.14,29.2,26.0
2023-05-30 19:20:00,,23.76,27.9,27.9,[27.9],1.0,0.14,29.0,26.0
2023-05-30 19:25:00,,23.75,28.1,28.1,[28.1],1.0,0.13,29.1,26.0
2023-05-30 19:30:00,,23.89,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-30 19:35:00,,23.74,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-30 19:40:00,,23.58,28.0,28.0,[28.0],1.0,0.13,29.4,26.0
2023-05-30 19:45:00,,23.64,27.9,27.9,[27.9],1.0,0.13,29.1,26.0
2023-05-30 19:50:00,,23.81,27.8,27.8,[27.8],1.0,0.13,29.3,26.0
2023-05-30 19:55:00,,23.81,27.9,27.9,[27.9],1.0,0.13,29.0,26.0
2023-05-30 20:00:00,,23.83,27.9,27.9,[27.9],1.0,0.13,29.0,26.0
2023-05-30 20:05:00,,23.76,27.9,27.9,[27.9],1.0,0.13,29.4,26.0
2023-05-30 20:10:00,,23.77,27.9,27.9,[27.9],1.0,0.13,29.0,26.0
2023-05-30 20:15:00,,23.6,27.9,27.9,[27.9],1.0,0.13,29.2,26.0
2023-05-30 20:20:00,,23.82,27.8,27.8,[27.8],1.0,0.14,29.2,26.0
2023-05-30 20:25:00,,23.76,28.0,28.0,[28.0],1.0,0.13,29.1,26.0
2023-05-30 20:30:00,,23.87,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-30 20:35:00,,23.78,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-30 20:40:00,,23.67,28.2,28.2,[28.2],1.0,0.13,29.0,26.0
2023-05-30 20:45:00,,23.85,28.1,28.1,[28.1],1.0,0.13,28.8,26.0
2023-05-30 20:50:00,,23.61,28.1,28.1,[28.1],1.0,0.13,29.3,26.0
2023-05-30 20:55:00,,23.72,28.0,28.0,[28.0],1.0,0.13,29.0,26.0
2023-05-30 21:00:00,,23.83,27.9,27.9,[27.9],1.0,0.13,28.8,26.0
2023-05-30 21:05:00,,23.86,28.0,28.0,[28.0],1.0,0.13,29.2,26.0
2023-05-30 21:10:00,,23.74,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-30 21:15:00,,23.82,28.0,28.0,[28.0],1.0,0.13,29.3,26.0
2023-05-30 21:20:00,,23.82,27.8,27.8,[27.8],1.0,0.13,28.9,26.0
2023-05-30 21:25:00,,23.78,27.8,27.8,[27.8],1.0,0.13,28.9,26.0
2023-05-30 21:30:00,,23.82,27.9,27.9,[27.9],1.0,0.14,29.1,26.0
2023-05-30 21:35:00,,23.87,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-30 21:40:00,,23.79,28.2,28.2,[28.2],1.0,0.13,28.7,26.0
2023-05-30 21:45:00,,23.63,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-30 21:50:00,,23.79,27.8,27.8,[27.8],1.0,0.14,29.0,26.0
2023-05-30 21:55:00,,23.79,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-30 22:00:00,,23.73,28.0,28.0,[28.0],1.0,0.13,28.6,26.0
2023-05-30 22:05:00,,23.61,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-30 22:10:00,,23.71,27.9,27.9,[27.9],1.0,0.13,28.8,26.0
2023-05-30 22:15:00,,23.54,27.9,27.9,[27.9],1.0,0.13,29.1,26.0
2023-05-30 22:20:00,,23.74,27.9,27.9,[27.9],1.0,0.13,28.8,26.0
2023-05-30 22:25:00,,23.79,28.0,28.0,[28.0],1.0,0.14,28.8,26.0
2023-05-30 22:30:00,,23.76,28.0,28.0,[28.0],1.0,0.14,29.1,26.0
2023-05-30 22:35:00,,23.75,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-30 22:40:00,,23.59,28.0,28.0,[28.0],1.0,0.13,29.2,26.0
2023-05-30 22:45:00,,23.75,28.0,28.0,[28.0],1.0,0.13,29.0,26.0
2023-05-30 22:50:00,,23.84,28.0,28.0,[28.0],1.0,0.13,29.0,26.0
2023-05-30 22:55:00,,23.53,28.0,28.0,[28.0],1.0,0.13,29.4,26.0
2023-05-30 23:00:00,,23.81,27.9,27.9,[27.9],1.0,0.13,28.9,26.0
2023-05-30 23:05:00,,23.7,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-30 23:10:00,,23.72,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-30 23:15:00,,23.65,28.0,28.0,[28.0],1.0,0.13,29.2,26.0
2023-05-30 23:20:00,,23.74,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-30 23:25:00,,23.74,28.0,28.0,[28.0],1.0,0.13,28.5,26.0
2023-05-30 23:30:00,,23.65,27.9,27.9,[27.9],1.0,0.13,28.9,26.0
2023-05-30 23:35:00,,,,,,,,,
2023-05-30 23:40:00,,23.63,27.8,27.8,[27.8],1.0,0.13,29.1,26.0
2023-05-30 23:45:00,,23.65,27.8,27.8,[27.8],1.0,0.13,28.5,26.0
2023-05-30 23:50:00,,23.46,27.9,27.9,[27.9],1.0,0.13,29.1,26.0
2023-05-30 23:55:00,,23.65,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 00:00:00,,23.59,27.9,27.9,[27.9],1.0,0.13,28.7,26.0
2023-05-31 00:05:00,,23.610000000000003,27.9,27.9,[27.9],1.0,0.13,28.8,26.0
2023-05-31 00:10:00,,23.46,28.0,28.0,[28.0],1.0,0.13,29.1,26.0
2023-05-31 00:15:00,,23.65,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 00:20:00,,23.23,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-31 00:25:00,,23.38,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 00:30:00,,23.200000000000003,27.8,27.8,[27.8],1.0,0.13,29.1,26.0
2023-05-31 00:35:00,,23.37,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 00:40:00,,23.33,28.1,28.1,[28.1],1.0,0.13,29.1,26.0
2023-05-31 00:45:00,,23.37,27.9,27.9,[27.9],1.0,0.13,28.6,26.0
2023-05-31 00:50:00,,23.200000000000003,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-31 00:55:00,,23.380000000000003,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-31 01:00:00,,23.36,28.1,28.1,[28.1],1.0,0.13,29.1,26.0
2023-05-31 01:05:00,,23.19,27.9,27.9,[27.9],1.0,0.13,29.0,26.0
2023-05-31 01:10:00,,23.41,27.8,27.8,[27.8],1.0,0.13,28.7,26.0
2023-05-31 01:15:00,,23.26,27.9,27.9,[27.9],1.0,0.13,29.1,26.0
2023-05-31 01:20:00,,23.33,27.8,27.8,[27.8],1.0,0.13,28.6,26.0
2023-05-31 01:25:00,,23.33,28.0,28.0,[28.0],1.0,0.13,29.1,26.0
2023-05-31 01:30:00,,23.36,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 01:35:00,,23.33,28.0,28.0,[28.0],1.0,0.13,29.0,26.0
2023-05-31 01:40:00,,23.36,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-31 01:45:00,,23.21,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 01:50:00,,23.18,27.9,27.9,[27.9],1.0,0.13,29.0,26.0
2023-05-31 01:55:00,,23.31,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 02:00:00,,23.33,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 02:05:00,,23.23,28.1,28.1,[28.1],1.0,0.13,29.2,26.0
2023-05-31 02:10:00,,23.34,27.9,27.9,[27.9],1.0,0.13,28.5,26.0
2023-05-31 02:15:00,,23.16,28.0,28.0,[28.0],1.0,0.13,29.1,26.0
2023-05-31 02:20:00,,23.35,27.9,27.9,[27.9],1.0,0.13,28.6,26.0
2023-05-31 02:25:00,,23.28,28.0,28.0,[28.0],1.0,0.13,29.0,26.0
2023-05-31 02:30:00,,23.35,28.0,28.0,[28.0],1.0,0.13,28.4,26.0
2023-05-31 02:35:00,,23.16,28.1,28.1,[28.1],1.0,0.13,29.1,26.0
2023-05-31 02:40:00,,23.14,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-31 02:45:00,,23.3,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 02:50:00,,23.33,28.0,28.0,[28.0],1.0,0.13,29.1,26.0
2023-05-31 02:55:00,,23.36,28.1,28.1,[28.1],1.0,0.13,28.5,26.0
2023-05-31 03:00:00,,23.14,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 03:05:00,,23.15,28.1,28.1,[28.1],1.0,0.12,28.8,26.0
2023-05-31 03:10:00,,23.31,27.9,27.9,[27.9],1.0,0.13,28.7,26.0
2023-05-31 03:15:00,,23.34,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 03:20:00,,23.17,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 03:25:00,,23.29,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 03:30:00,,23.37,28.0,28.0,[28.0],1.0,0.13,29.1,26.0
2023-05-31 03:35:00,,23.32,28.1,28.1,[28.1],1.0,0.13,28.5,26.0
2023-05-31 03:40:00,,23.26,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 03:45:00,,23.29,28.1,28.1,[28.1],1.0,0.13,28.6,26.0
2023-05-31 03:50:00,,23.14,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 03:55:00,,23.15,28.1,28.1,[28.1],1.0,0.13,28.8,26.0
2023-05-31 04:00:00,,23.29,28.1,28.1,[28.1],1.0,0.13,28.8,26.0
2023-05-31 04:05:00,,23.34,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-31 04:10:00,,23.31,28.0,28.0,[28.0],1.0,0.13,28.5,26.0
2023-05-31 04:15:00,,,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-31 04:20:00,,22.67,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-31 04:25:00,,22.71,28.0,28.0,[28.0],1.0,0.13,28.5,26.0
2023-05-31 04:30:00,,22.8,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 04:35:00,,22.67,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-31 04:40:00,,22.68,28.1,28.1,[28.1],1.0,0.13,28.5,26.0
2023-05-31 04:45:00,,22.92,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 04:50:00,,22.94,28.1,28.1,[28.1],1.0,0.13,28.8,26.0
2023-05-31 04:55:00,,22.84,28.1,28.1,[28.1],1.0,0.13,28.6,26.0
2023-05-31 05:00:00,,22.86,27.9,27.9,[27.9],1.0,0.13,28.9,26.0
2023-05-31 05:05:00,,22.96,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 05:10:00,,22.92,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-31 05:15:00,,23.08,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 05:20:00,,22.92,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 05:25:00,,23.11,27.9,27.9,[27.9],1.0,0.13,28.4,26.0
2023-05-31 05:30:00,,22.88,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 05:35:00,,22.96,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 05:40:00,,22.94,28.0,28.0,[28.0],1.0,0.13,28.4,26.0
2023-05-31 05:45:00,,23.07,28.1,28.1,[28.1],1.0,0.12,28.8,26.0
2023-05-31 05:50:00,,22.95,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 05:55:00,,22.95,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-31 06:00:00,,23.15,28.1,28.1,[28.1],1.0,0.13,28.6,26.0
2023-05-31 06:05:00,,23.31,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-31 06:10:00,,23.12,28.1,28.1,[28.1],1.0,0.12,28.7,26.0
2023-05-31 06:15:00,,23.29,28.1,28.1,[28.1],1.0,0.13,28.5,26.0
2023-05-31 06:20:00,,23.3,28.1,28.1,[28.1],1.0,0.13,28.8,26.0
2023-05-31 06:25:00,,23.2,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 06:30:00,,23.14,28.1,28.1,[28.1],1.0,0.12,29.0,26.0
2023-05-31 06:35:00,,23.32,28.1,28.1,[28.1],1.0,0.13,28.5,26.0
2023-05-31 06:40:00,,23.22,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 06:45:00,,23.39,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 06:50:00,,23.23,28.2,28.2,[28.2],1.0,0.13,28.8,26.0
2023-05-31 06:55:00,,23.21,28.1,28.1,[28.1],1.0,0.13,28.7,26.0
2023-05-31 07:00:00,,23.32,28.0,28.0,[28.0],1.0,0.13,28.4,26.0
2023-05-31 07:05:00,,23.57,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-31 07:10:00,,23.48,28.2,28.2,[28.2],1.0,0.13,28.6,26.0
2023-05-31 07:15:00,,23.53,28.0,28.0,[28.0],1.0,0.13,28.5,26.0
2023-05-31 07:20:00,,23.56,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 07:25:00,,23.64,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 07:30:00,,23.38,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 07:35:00,,23.68,28.1,28.1,[28.1],1.0,0.13,28.6,26.0
2023-05-31 07:40:00,,23.62,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 07:45:00,,23.59,28.1,28.1,[28.1],1.0,0.13,28.9,26.0
2023-05-31 07:50:00,,23.54,28.0,28.0,[28.0],1.0,0.13,28.4,26.0
2023-05-31 07:55:00,,23.58,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-31 08:00:00,,23.6,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 08:05:00,,23.49,27.9,27.9,[27.9],1.0,0.13,28.6,26.0
2023-05-31 08:10:00,,23.67,28.0,28.0,[28.0],1.0,0.13,28.6,26.0
2023-05-31 08:15:00,,23.7,28.0,28.0,[28.0],1.0,0.13,28.9,26.0
2023-05-31 08:20:00,,23.73,28.1,28.1,[28.1],1.0,0.13,29.1,26.0
2023-05-31 08:25:00,,23.450000000000003,28.1,28.1,[28.1],1.0,0.13,29.0,26.0
2023-05-31 08:30:00,,23.61,27.9,27.9,[27.9],1.0,0.13,28.6,26.0
2023-05-31 08:35:00,,23.42,27.9,27.9,[27.9],1.0,0.13,28.6,26.0
2023-05-31 08:40:00,,23.630000000000003,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 08:45:00,,23.44,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 08:50:00,,23.51,28.0,28.0,[28.0],1.0,0.13,29.0,26.0
2023-05-31 08:55:00,,23.62,28.0,28.0,[28.0],1.0,0.13,28.7,26.0
2023-05-31 09:00:00,,23.48,28.0,28.0,[28.0],1.0,0.13,28.5,26.0
2023-05-31 09:05:00,,23.92,28.0,28.0,[28.0],1.0,0.13,28.6,26.0
2023-05-31 09:10:00,,23.56,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 09:15:00,,23.62,28.0,28.0,[28.0],1.0,0.13,28.8,26.0
2023-05-31 09:20:00,,23.5,27.8,27.8,[27.8],1.0,0.13,28.7,26.0
2023-05-31 09:25:00,,23.66,28.0,28.0,[28.0],1.0,0.14,28.7,26.0
2023-05-31 09:30:00,,23.74,28.1,28.1,[28.1],1.0,0.13,29.1,26.0
2023-05-31 09:35:00,,23.450000000000003,28.0,28.0,[28.0],1.0,0.13,29.0,26.0
2023-05-31 09:40:00,,23.67,28.0,28.0,[28.0],1.0,0.13,28.5,26.0
